Total number of answer groups (for each answer) for entire dataset: 2218785
Total number of yes/no answer groups: 834410
Total number of questions: 443757
Total number of predicate questions: 8019
Total number of yes/no answers for predicate set: 5620
{'imageId': 452371, 'question': u'How high is the ceiling?', 'question_type': u'number', 'question_id': 452371000}
{'imageId': 235870, 'question': u'Is this a new bus?', 'question_type': u'yes/no', 'question_id': 235870002}
{'imageId': 405461, 'question': u'Is it cloudy?', 'question_type': u'yes/no', 'question_id': 405461008}
{'imageId': 541721, 'question': u'Are they at an adult party?', 'question_type': u'yes/no', 'question_id': 541721046}
{'imageId': 82300, 'question': u'Is the man doing a new form of yoga?', 'question_type': u'yes/no', 'question_id': 82300003}
{'imageId': 425548, 'question': u'Does the weather look bad enough to ground the planes?', 'question_type': u'yes/no', 'question_id': 425548020}
{'imageId': 193785, 'question': u'How tall is the pink building?', 'question_type': u'number', 'question_id': 193785004}
{'imageId': 128328, 'question': u'Is the building on the left tall?', 'question_type': u'yes/no', 'question_id': 128328002}
{'imageId': 182349, 'question': u'Is this an old traffic light?', 'question_type': u'yes/no', 'question_id': 182349000}
{'imageId': 20512, 'question': u'How tall is the giraffe?', 'question_type': u'number', 'question_id': 20512003}
{'imageId': 368661, 'question': u'Do the cows have enough food?', 'question_type': u'yes/no', 'question_id': 368661002}
{'imageId': 232181, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 232181001}
{'imageId': 272544, 'question': u'Is it overcast?', 'question_type': u'yes/no', 'question_id': 272544009}
{'imageId': 101435, 'question': u'Is this a cloudy day?', 'question_type': u'yes/no', 'question_id': 101435001}
{'imageId': 424528, 'question': u'Is that building tall?', 'question_type': u'yes/no', 'question_id': 424528005}
{'imageId': 506169, 'question': u'Is it cloudy or sunny?', 'question_type': u'other', 'question_id': 506169002}
{'imageId': 244857, 'question': u'Is the apartment high up?', 'question_type': u'yes/no', 'question_id': 244857002}
{'imageId': 377589, 'question': u'Is this a new cell phone?', 'question_type': u'yes/no', 'question_id': 377589000}
{'imageId': 493659, 'question': u'Is it sunny outside in the picture?', 'question_type': u'yes/no', 'question_id': 493659014}
{'imageId': 557955, 'question': u'Are the grass tall?', 'question_type': u'yes/no', 'question_id': 557955002}
{'imageId': 27237, 'question': u'Is there a young boy?', 'question_type': u'yes/no', 'question_id': 27237009}
{'imageId': 173843, 'question': u'Is the floor clean enough to eat off of?', 'question_type': u'yes/no', 'question_id': 173843001}
{'imageId': 385971, 'question': u'Is this a sunny day?', 'question_type': u'yes/no', 'question_id': 385971005}
{'imageId': 280833, 'question': u'Does it seem as if the action being watched is rather high up?', 'question_type': u'yes/no', 'question_id': 280833003}
{'imageId': 9946, 'question': u'Is it sunny outside?', 'question_type': u'yes/no', 'question_id': 9946003}
{'imageId': 429509, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 429509005}
{'imageId': 81819, 'question': u'What letter sounds the same as the short name for this sort of train?', 'question_type': u'other', 'question_id': 81819004}
{'imageId': 421791, 'question': u'Is this a sunny kitchen?', 'question_type': u'yes/no', 'question_id': 421791002}
{'imageId': 131190, 'question': u'Is the building a high rise?', 'question_type': u'yes/no', 'question_id': 131190025}
{'imageId': 152857, 'question': u'Does this look to be taken in New York City?', 'question_type': u'yes/no', 'question_id': 152857004}
{'imageId': 3365, 'question': u'Are the waves high?', 'question_type': u'yes/no', 'question_id': 3365001}
{'imageId': 364374, 'question': u'Is this New York?', 'question_type': u'yes/no', 'question_id': 364374002}
{'imageId': 243029, 'question': u'Is it cloudy?', 'question_type': u'yes/no', 'question_id': 243029001}
{'imageId': 40874, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 40874000}
{'imageId': 422382, 'question': u'Is the skateboard worn or new?', 'question_type': u'other', 'question_id': 422382002}
{'imageId': 434067, 'question': u'What are young men doing in the park?', 'question_type': u'other', 'question_id': 434067047}
{'imageId': 126096, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 126096037}
{'imageId': 301781, 'question': u'Is the grass tall?', 'question_type': u'yes/no', 'question_id': 301781008}
{'imageId': 361339, 'question': u'Is this an adult cat?', 'question_type': u'yes/no', 'question_id': 361339001}
{'imageId': 466406, 'question': u'Is this a new keyboard?', 'question_type': u'yes/no', 'question_id': 466406003}
{'imageId': 512140, 'question': u'Is there enough counter space to prepare an elaborate meal?', 'question_type': u'yes/no', 'question_id': 512140001}
{'imageId': 158701, 'question': u'Is this an old photo?', 'question_type': u'yes/no', 'question_id': 158701001}
{'imageId': 329766, 'question': u'Is this a high-speed train?', 'question_type': u'yes/no', 'question_id': 329766007}
{'imageId': 536902, 'question': u'How old is the birthday girl?', 'question_type': u'number', 'question_id': 536902001}
{'imageId': 81855, 'question': u'Is the plane flying at a high altitude?', 'question_type': u'yes/no', 'question_id': 81855005}
{'imageId': 573546, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 573546002}
{'imageId': 266038, 'question': u'How old is the cat?', 'question_type': u'number', 'question_id': 266038005}
{'imageId': 557084, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 557084000}
{'imageId': 163546, 'question': u'Is it a cloudy day?', 'question_type': u'yes/no', 'question_id': 163546001}
{'imageId': 292868, 'question': u'How high up is the clock?', 'question_type': u'number', 'question_id': 292868001}
{'imageId': 566051, 'question': u'Is it cloudy?', 'question_type': u'yes/no', 'question_id': 566051004}
{'imageId': 514800, 'question': u'How old do you think this suitcase is?', 'question_type': u'number', 'question_id': 514800005}
{'imageId': 179209, 'question': u'Is the truck new?', 'question_type': u'yes/no', 'question_id': 179209001}
{'imageId': 194437, 'question': u'Is this a young man?', 'question_type': u'yes/no', 'question_id': 194437001}
{'imageId': 222122, 'question': u'How old is the bear?', 'question_type': u'number', 'question_id': 222122005}
{'imageId': 154020, 'question': u'Why do the young men have ethereal doubles?', 'question_type': u'other', 'question_id': 154020007}
{'imageId': 40380, 'question': u'Is it raining or sunny?', 'question_type': u'other', 'question_id': 40380002}
{'imageId': 81479, 'question': u'Is the sky cloudy?', 'question_type': u'yes/no', 'question_id': 81479001}
{'imageId': 71128, 'question': u'How high does the dog jump?', 'question_type': u'other', 'question_id': 71128003}
{'imageId': 406792, 'question': u'What age group does this bedroom looks like it belongs to?', 'question_type': u'other', 'question_id': 406792003}
{'imageId': 425473, 'question': u'Is most of the stuff in this room old or new?', 'question_type': u'other', 'question_id': 425473000}
{'imageId': 537461, 'question': u'Do the toothbrushes look new?', 'question_type': u'yes/no', 'question_id': 537461001}
{'imageId': 130834, 'question': u'What age group do the computer users belong to?', 'question_type': u'other', 'question_id': 130834009}
{'imageId': 456399, 'question': u'Is it cloudy?', 'question_type': u'yes/no', 'question_id': 456399000}
{'imageId': 456451, 'question': u'Is the woman young?', 'question_type': u'yes/no', 'question_id': 456451001}
{'imageId': 104935, 'question': u'What number of buses are under the tall buildings?', 'question_type': u'number', 'question_id': 104935009}
{'imageId': 139878, 'question': u'Is this a new photo?', 'question_type': u'yes/no', 'question_id': 139878002}
{'imageId': 576801, 'question': u'Is this giraffe an adult or baby?', 'question_type': u'other', 'question_id': 576801001}
{'imageId': 82143, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 82143004}
{'imageId': 297678, 'question': u'Is this a new board or old?', 'question_type': u'other', 'question_id': 297678001}
{'imageId': 550878, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 550878007}
{'imageId': 301419, 'question': u'Is it a cloudy day?', 'question_type': u'yes/no', 'question_id': 301419007}
{'imageId': 435764, 'question': u'Are there enough trees on this block?', 'question_type': u'yes/no', 'question_id': 435764025}
{'imageId': 71236, 'question': u'About how old is the girl?', 'question_type': u'number', 'question_id': 71236002}
{'imageId': 54324, 'question': u'How old is the boy?', 'question_type': u'number', 'question_id': 54324020}
{'imageId': 157634, 'question': u'Is the keyboard new?', 'question_type': u'yes/no', 'question_id': 157634003}
{'imageId': 237233, 'question': u'Are these low fat foods?', 'question_type': u'yes/no', 'question_id': 237233027}
{'imageId': 237401, 'question': u'Is the mountain tall?', 'question_type': u'yes/no', 'question_id': 237401008}
{'imageId': 393630, 'question': u'Is there enough room for more people on the bench?', 'question_type': u'yes/no', 'question_id': 393630006}
{'imageId': 16142, 'question': u'Was this picture made on a sunny day?', 'question_type': u'yes/no', 'question_id': 16142002}
{'imageId': 223902, 'question': u'Is this a new stove?', 'question_type': u'yes/no', 'question_id': 223902001}
{'imageId': 66164, 'question': u'Is the dog old?', 'question_type': u'yes/no', 'question_id': 66164003}
{'imageId': 231614, 'question': u'How old is this picture?', 'question_type': u'other', 'question_id': 231614000}
{'imageId': 458914, 'question': u'Overcast or sunny?', 'question_type': u'other', 'question_id': 458914001}
{'imageId': 417016, 'question': u'How high is the wave?', 'question_type': u'number', 'question_id': 417016005}
{'imageId': 108228, 'question': u'Is it sunny outside?', 'question_type': u'yes/no', 'question_id': 108228001}
{'imageId': 501851, 'question': u'Is the sky cloudy?', 'question_type': u'yes/no', 'question_id': 501851000}
{'imageId': 297607, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 297607002}
{'imageId': 59211, 'question': u'Is this New York?', 'question_type': u'yes/no', 'question_id': 59211003}
{'imageId': 556709, 'question': u'Is the dock new?', 'question_type': u'yes/no', 'question_id': 556709000}
{'imageId': 124815, 'question': u'Is this giraffe more than 2ft tall?', 'question_type': u'yes/no', 'question_id': 124815004}
{'imageId': 370511, 'question': u'Is the sky blue or cloudy?', 'question_type': u'other', 'question_id': 370511011}
{'imageId': 415174, 'question': u'Is it a sunny day?', 'question_type': u'yes/no', 'question_id': 415174001}
{'imageId': 430615, 'question': u'How high is the man in the air?', 'question_type': u'number', 'question_id': 430615062}
{'imageId': 80987, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 80987000}
{'imageId': 460728, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 460728002}
{'imageId': 329737, 'question': u'Is this a new computer?', 'question_type': u'yes/no', 'question_id': 329737002}
{'imageId': 277998, 'question': u'Is this an adult meal or is it for a child?', 'question_type': u'other', 'question_id': 277998013}
{'imageId': 43371, 'question': u'Are these cows the same age?', 'question_type': u'yes/no', 'question_id': 43371003}
{'imageId': 15404, 'question': u'Is it sunny?', 'question_type': u'yes/no', 'question_id': 15404028}
